EventID	TrackID	nPhotons	Px	Py	Pz	KineticEnergy	Hits
325	1	78352585	-557.716	500.422	-2746.29	2742.98	17
326	1	78681410	55.1464	36.0268	-399.981	313.254	18
327	1	78681410	37.3477	25.6763	-168.282	98.1472	0
328	1	78821520	783.777	-717.59	-1098.67	1426.49	4
329	1	79139782	887.814	1143.84	-2678.35	2940.87	19
330	1	79143932	839.375	-183.375	-2047.12	2116.96	0
331	1	79572613	-463.876	-287.864	-680.282	772.974	25
332	1	79597749	-753.12	-364.561	-641.1	953.713	1
333	1	79929124	389.421	325.336	-1126.02	1133.93	15
334	1	79929124	1134.86	1217.82	-1506.93	2142.23	0
335	1	79929124	-747.377	35.6081	-431.485	764.505	0
336	1	79929124	-74.0788	-1261.03	-1107.6	1577.68	0
337	1	80084800	7.36132	178.469	-213.49	192.078	7
338	1	80490736	-47.4635	55.2188	-1703.63	1602.8	22
339	1	80879592	-99.6229	-36.131	-3521.86	3419.38	10
340	1	80879592	202.304	-183.042	-858.803	801.611	0
341	1	81029349	326.311	226.087	-419.683	481.617	8
342	1	81285988	40.7415	-63.8743	-261.33	186.227	7
343	1	81335708	637.755	-1716.95	-1977.7	2591.95	3
344	1	81750397	-781.048	-536.107	-1091.44	1343.43	32
345	1	81767719	-2622.36	-1529.84	-4202.69	5079.99	0
346	1	81946096	-707.254	4602.16	-5985.34	7478.24	10
347	1	82301255	1139.44	-272.087	-2679.06	2820.24	17
348	1	82847979	-246.385	-250.606	-2278.64	2202.34	26
349	1	83272705	-61.8212	-307.741	-1960.77	1882.89	18
350	1	83272705	-699.556	-185.055	-1400.2	1474.01	0
351	1	83852566	960.683	2860.93	-3449.17	4478.64	38
352	1	84288406	1838.98	3721.47	-3682.64	5444.49	36
